pH,CEC,LIME_INDEX,TEMPERATURE,PHOSPHORUS,POTASSIUM,CALCIUM,MAGNESIUM
6.3,,69,25,20,137,854,192
6.2,,69,25,19,138,902,205
6.2,,69,25,34,97,780,158
6.2,,69,25,19,107,940,197
6.3,,69,25,27,81,784,182
6.2,,68,25,21,96,860,191
6.2,,69,25,22,78,701,148
6.2,,69,25,13,69,832,183
6.3,,69,25,32,37,696,146
5.9,,67,25,44,126,778,146
5.8,,66,25,31,119,817,166
6,,68,25,63,136,746,126
6.1,,69,25,62,153,806,147
5.8,,67,25,27,99,788,145
5.7,,66,25,52,87,840,94
6.1,,68,25,37,118,799,193
6.2,,69,25,21,89,867,223
6.1,,68,25,44,106,880,210
6.3,,69,25,31,105,886,206
6.1,,68,25,25,81,865,200
6.3,,69,25,37,71,672,144
5.7,5.2,69,25,25,89,569,108
5.9,5.3,70,25,29,121,745,148
5.9,6.9,69,25,72,149,832,137
5.7,8.2,68,25,31,130,848,146
6,6.4,70,25,23,100,949,173
6.1,4.2,71,25,46,66,634,103
6.1,5.6,70,25,33,113,799,152
6,5.5,70,25,24,88,795,155
5.9,6.6,69,25,34,110,788,147
5.9,6.3,69,25,30,106,722,141
5.8,5.8,69,25,21,91,642,136
6.2,4.4,70,25,37,74,633,124
5.9,5.1,70,25,19,85,720,148
5.8,6.7,68,25,49,96,627,105
6.1,5.5,70,25,34,121,779,153
5.9,5.4,70,25,23,127,754,151
5.8,6.9,69,25,20,114,815,165
6.1,5.5,70,25,33,93,816,137
6,4.8,70,25,18,74,683,146
5.8,7.4,68,25,23,75,741,132
5.9,7,69,25,18,93,862,154
5.9,5.6,70,25,22,104,844,135
5.8,7.7,69,25,14,88,968,169
6.2,6.2,69,25,35,48,767,123
6,7.3,69,25,48,136,904,144
5.8,7.1,69,25,34,115,834,169
6,4.5,70,25,55,97,644,125
6,6.1,70,25,56,145,925,128
5.7,7.7,68,25,31,107,816,109
5.7,7.4,68,25,59,86,832,75
5.8,6.9,69,25,31,68,837,161
6,6.1,70,25,19,65,840,203
6.1,6.6,70,25,35,70,963,191
6.1,5.7,70,25,23,61,819,178
5.8,5.9,70,25,22,56,882,166
6.4,5.6,71,25,39,45,827,156
5.8,5.8,69,25,27,101,678,115
5.8,6.6,69,25,28,116,773,145
5.7,9.1,67,25,76,154,785,136
5.8,6.8,69,25,30,127,812,149
5.9,7.1,69,25,26,93,871,162
6,4.5,70,25,48,84,655,127
6,7.7,69,25,31,124,949,174
5.9,7.1,69,25,29,100,857,167
5.8,9.5,67,25,32,134,830,163
5.6,8.4,68,25,31,121,842,174
5.7,8.3,68,25,19,109,833,173
6.1,6.5,69,25,34,81,761,154
5.9,6.7,69,25,16,106,777,163
5.8,7.2,68,25,45,108,684,137
6.1,7.2,69,25,33,131,859,160
5.9,7,69,25,19,134,808,168
5.8,8.1,68,25,20,115,809,166
6,7,69,25,34,99,867,149
5.9,6.5,69,25,19,93,799,132
5.7,7.2,68,25,25,81,704,124
5.7,7.6,68,25,20,88,770,133
5.9,6.7,69,25,21,91,811,146
5.8,7.2,69,25,13,84,880,161
6.1,6.1,69,25,34,41,739,136
6,6.9,69,25,43,144,806,153
6,7,69,25,37,134,837,150
6.2,8.8,69,25,50,163,1119,189
6.3,6.1,70,25,59,155,893,147
5.8,7.7,68,25,29,103,771,136
5.9,7.9,68,25,64,104,874,108
6,7.4,69,25,28,73,879,200
6.1,6.9,70,25,19,76,961,226
6,8.4,69,25,36,92,1014,232
6.3,6.7,70,25,23,73,930,218
6.2,7,70,25,19,69,991,227
6.7,5.6,71,25,34,42,772,201
5.9,5.9,69,25,22,95,697,121
6,6.9,69,25,25,121,824,150
5.9,9.4,67,25,66,147,849,141
5.9,6.6,69,25,28,113,798,134
6,7.2,69,25,27,93,899,155
6.1,5.4,69,25,42,65,615,116
6.2,7.1,69,25,30,105,869,151
6.1,7.5,69,25,27,104,921,167
5.8,8.3,68,25,33,114,857,155
5.8,7.8,68,25,31,114,787,140
5.9,8.2,68,25,20,100,857,154
6.2,6.6,69,25,36,78,808,144
6,7.5,69,25,17,105,928,172
5.9,6.5,69,25,46,99,771,138
6.2,7.6,69,25,34,115,958,163
6,7.2,69,25,19,111,884,160
5.9,8.3,68,25,19,99,863,160
6.1,7.4,69,25,36,96,933,149
5.9,7.9,69,25,22,94,1002,175
5.8,7.7,68,25,25,73,794,139
5.7,7.8,68,25,24,84,804,134
5.9,7.9,68,25,26,87,826,139
5.8,8.3,68,25,18,76,885,158
6.1,4.6,69,25,34,33,514,93
6.1,6.4,69,25,46,131,762,129
6,7.2,69,25,36,138,859,159
6.1,7.1,69,25,68,143,862,144
6.2,7.2,69,25,66,163,867,146
5.9,6.8,69,25,34,117,825,138
5.8,7.9,68,25,57,100,872,105
6.2,7.5,69,25,27,77,913,190
6.1,8.2,69,25,20,83,989,224
6.2,8.1,69,25,36,90,989,208
6.4,6.3,71,25,28,82,890,202
6.3,7.6,69,25,25,69,919,197
6.6,6,71,25,35,52,846,195
6,6.2,69,25,30,88,699,152
6,7.6,69,25,54,162,890,184
6,6.9,69,25,47,167,805,153
